pokedex_number,name,attack,defense,height_m,hp,percentage_male,sp_attack,sp_defense,speed,type,weight_kg,generation,is_legendary
776,Turtonator,78,135,2,60,50,91,85,36,fire,212,7,0
777,Togedemaru,98,63,0.3,65,50,40,73,96,electric,3.3,7,0
778,Mimikyu,90,80,0.2,55,50,50,105,96,ghost,0.7,7,0
779,Bruxish,105,70,0.9,68,50,70,70,92,water,19,7,0
780,Drampa,60,85,3,78,50,135,91,36,normal,185,7,0
781,Dhelmise,131,100,3.9,70,,86,90,40,ghost,210,7,0
782,Jangmo-o,55,65,0.6,45,50,45,45,45,dragon,29.7,7,0
783,Hakamo-o,75,90,1.2,55,50,65,70,65,dragon,47,7,0
784,Kommo-o,110,125,1.6,75,50,100,105,85,dragon,78.2,7,0
785,Tapu Koko,115,85,1.8,70,,95,75,130,electric,20.5,7,1
786,Tapu Lele,85,75,1.2,70,,130,115,95,psychic,18.6,7,1
787,Tapu Bulu,130,115,1.9,70,,85,95,75,grass,45.5,7,1
788,Tapu Fini,75,115,1.3,70,,95,130,85,water,21.2,7,1
789,Cosmog,29,31,0.2,43,,29,31,37,psychic,0.1,7,1
790,Cosmoem,29,131,0.1,43,,29,131,37,psychic,999.9,7,1
791,Solgaleo,137,107,3.4,137,,113,89,97,psychic,230,7,1
792,Lunala,113,89,4,137,,137,107,97,psychic,120,7,1
793,Nihilego,53,47,1.2,109,,127,131,103,rock,55.5,7,1
794,Buzzwole,139,139,2.4,107,,53,53,79,bug,333.6,7,1
795,Pheromosa,137,37,1.8,71,,137,37,151,bug,25,7,1
796,Xurkitree,89,71,3.8,83,,173,71,83,electric,100,7,1
797,Celesteela,101,103,9.2,97,,107,101,61,steel,999.9,7,1
798,Kartana,181,131,0.3,59,,59,31,109,grass,0.1,7,1
799,Guzzlord,101,53,5.5,223,,97,53,43,dark,888,7,1
800,Necrozma,107,101,2.4,97,,127,89,79,psychic,230,7,1
801,Magearna,95,115,1,80,,130,115,65,steel,80.5,7,1
