JURISDICTION,YEAR,POPULATION,MURDER,RAPE,ROBBERY,AGG. ASSAULT,B & E,LARCENY THEFT,M/V THEFT,GRAND TOTAL,PERCENT CHANGE,VIOLENT CRIME TOTAL,VIOLENT CRIME PERCENT,VIOLENT CRIME PERCENT CHANGE,PROPERTY CRIME TOTALS,PROPERTY CRIME PERCENT,PROPERTY CRIME PERCENT CHANGE,"OVERALL CRIME RATE PER 100,000 PEOPLE","OVERALL PERCENT CHANGE PER 100,000 PEOPLE","VIOLENT CRIME RATE PER 100,000 PEOPLE","VIOLENT CRIME RATE PERCENT CHANGE PER 100,000 PEOPLE","PROPERTY CRIME RATE PER 100,000 PEOPLE","PROPERTY CRIME RATE PERCENT CHANGE PER 100,000 PEOPLE","MURDER PER 100,000 PEOPLE","RAPE PER 100,000 PEOPLE","ROBBERY PER 100,000 PEOPLE","AGG. ASSAULT PER 100,000 PEOPLE","B & E PER 100,000 PEOPLE","LARCENY THEFT PER 100,000 PEOPLE","M/V THEFT PER 100,000 PEOPLE","MURDER  RATE PERCENT CHANGE PER 100,000 PEOPLE","RAPE RATE PERCENT CHANGE PER 100,000 PEOPLE","ROBBERY RATE PERCENT CHANGE PER 100,000 PEOPLE","AGG. ASSAULT  RATE PERCENT CHANGE PER 100,000 PEOPLE","B & E RATE PERCENT CHANGE PER 100,000 PEOPLE","LARCENY THEFT  RATE PERCENT CHANGE PER 100,000 PEOPLE","M/V THEFT  RATE PERCENT CHANGE PER 100,000 PEOPLE"
Garrett County,01/01/1995 12:00:00 AM,29582,1,5,0,51,139,363,35,594,-9.6,57,9.6,1.8,537,90.4,-10.6,2008,-9.7,192.7,1.7,1815.3,-10.8,3.4,16.9,0,172.4,469.9,1227.1,118.3,338,-16.8,-100,8.4,-25.4,-5.3,9.2
Garrett County,01/01/1996 12:00:00 AM,29757,1,3,2,31,148,387,19,591,-0.5,37,6.3,-35.1,554,93.7,3.2,1986.1,-1.1,124.3,-35.5,1861.7,2.6,3.4,10.1,6.7,104.2,497.4,1300.5,63.9,-0.6,-40.4,670,-39.6,5.8,6,-46
Garrett County,01/01/1997 12:00:00 AM,29885,0,13,3,55,160,367,26,624,5.6,71,11.4,91.9,553,88.6,-0.2,2088,5.1,237.6,91.1,1850.4,-0.6,0,43.5,10,184,535.4,1228,87,-100,331.5,49.4,76.7,7.6,-5.6,36.3
Garrett County,01/01/1998 12:00:00 AM,29749,0,8,1,23,181,363,25,601,-3.7,32,5.3,-54.9,569,94.7,2.9,2020.2,-3.2,107.6,-54.7,1912.7,3.4,0,26.9,3.4,77.3,608.4,1220.2,84,0,-38.2,-66.5,-58,13.6,-0.6,-3.4
Garrett County,01/01/1999 12:00:00 AM,29448,0,4,5,21,141,321,25,517,-14,30,5.8,-6.3,487,94.2,-14.4,1755.6,-13.1,101.9,-5.3,1653.8,-13.5,0,13.6,17,71.3,478.8,1090.1,84.9,0,-49.5,405.1,-7.8,-21.3,-10.7,1
Garrett County,01/01/2000 12:00:00 AM,29846,1,6,0,39,127,349,32,554,7.2,46,8.3,53.3,508,91.7,4.3,1856.2,5.7,154.1,51.3,1702.1,2.9,3.4,20.1,0,130.7,425.5,1169.3,107.2,335.1,48,-100,83.2,-11.1,7.3,26.3
Garrett County,01/01/2001 12:00:00 AM,30289,1,5,4,17,124,397,22,570,2.9,27,4.7,-41.3,543,95.3,6.9,1881.9,1.4,89.1,-42.2,1792.7,5.3,3.3,16.5,13.2,56.1,409.4,1310.7,72.6,-1.5,-17.9,1320,-57,-3.8,12.1,-32.3
Garrett County,01/01/2002 12:00:00 AM,30757,0,2,1,41,104,367,22,537,-5.8,44,8.2,63,493,91.8,-9.2,1745.9,-7.2,143.1,60.5,1602.9,-10.6,0,6.5,3.3,133.3,338.1,1193.2,71.5,-100,-60.6,-75.4,137.5,-17.4,-9,-1.5
Garrett County,01/01/2003 12:00:00 AM,30156,0,7,1,38,118,396,22,582,8.4,46,7.9,4.5,536,92.1,8.7,1930,10.5,152.5,6.6,1777.4,10.9,0,23.2,3.3,126,391.3,1313.2,73,0,257,2,-5.5,15.7,10.1,2
Garrett County,01/01/2004 12:00:00 AM,30317,1,0,2,52,100,320,16,491,-15.6,55,11.2,19.6,436,88.8,-18.7,1619.6,-16.1,181.4,18.9,1438.1,-19.1,3.3,0,6.6,171.5,329.8,1055.5,52.8,329.8,-100,98.9,36.1,-15.7,-19.6,-27.7
Garrett County,01/01/2005 12:00:00 AM,30353,0,4,1,57,136,312,19,529,7.7,62,11.7,12.7,467,88.3,7.1,1742.8,7.6,204.3,12.6,1538.6,7,0,13.2,3.3,187.8,448.1,1027.9,62.6,-100,1317.8,-50.1,9.5,35.8,-2.6,18.6
Garrett County,01/01/2006 12:00:00 AM,29991,2,7,3,51,156,346,22,587,11,63,10.7,1.6,524,89.3,12.2,1957.3,12.3,210.1,2.8,1747.2,13.6,6.7,23.3,10,170.1,520.2,1153.7,73.4,666.9,77.1,203.6,-9.4,16.1,12.2,17.2
Garrett County,01/01/2007 12:00:00 AM,29619,0,6,2,56,161,359,26,610,3.9,64,10.5,1.6,546,89.5,4.2,2059.5,5.2,216.1,2.9,1843.4,5.5,0,20.3,6.8,189.1,543.6,1212.1,87.8,-100,-13.2,-32.5,11.2,4.5,5.1,19.7
Garrett County,01/01/2008 12:00:00 AM,29391,2,2,5,62,171,341,29,612,0.3,71,11.6,10.9,541,88.4,-0.9,2082.3,1.1,241.6,11.8,1840.7,-0.1,6.8,6.8,17,210.9,581.8,1160.2,98.7,680.5,-66.4,151.9,11.6,7,-4.3,12.4
Garrett County,01/01/2009 12:00:00 AM,29830,0,4,1,63,170,322,14,574,-6.2,68,11.8,-4.2,506,88.2,-6.5,1924.2,-7.6,228,-5.6,1696.3,-7.8,0,13.4,3.4,211.2,569.9,1079.5,46.9,-100,97.1,-80.3,0.1,-2,-7,-52.4
Garrett County,01/01/2010 12:00:00 AM,29696,1,2,2,44,158,299,26,532,-7.3,49,9.2,-27.9,483,90.8,-4.5,1791.5,-6.9,165,-27.6,1626.5,-4.1,3.4,6.7,6.7,148.2,532.1,1006.9,87.6,336.7,-49.8,100.9,-29.8,-6.6,-6.7,86.6
Garrett County,01/01/2011 12:00:00 AM,30382,2,5,3,60,190,339,22,621,16.7,70,11.3,42.9,551,88.7,14.1,2044,14.1,230.4,39.6,1813.6,11.5,6.6,16.5,9.9,197.5,625.4,1115.8,72.4,95.5,144.4,46.6,33.3,17.5,10.8,-17.3
Garrett County,01/01/2012 12:00:00 AM,30341,1,1,5,64,164,351,25,611,-1.6,71,11.6,1.4,540,88.4,-2,2013.8,-1.5,234,1.6,1779.8,-1.9,3.3,3.3,16.5,210.9,540.5,1156.9,82.4,-49.9,-80,66.9,6.8,-13.6,3.7,13.8
Garrett County,01/01/2013 12:00:00 AM,29839,0,2,5,121,174,375,23,700,14.6,128,18.3,80.3,572,81.7,5.9,2345.9,16.5,429,83.3,1917,7.7,0,6.7,16.8,405.5,583.1,1256.7,77.1,-100,103.4,1.7,92.2,7.9,8.6,-6.5
Garrett County,01/01/2014 12:00:00 AM,29897,0,6,1,61,142,298,15,523,-25.3,68,13,-46.9,455,87,-20.5,1749.3,-25.4,227.4,-47,1521.9,-20.6,0,20.1,3.3,204,475,996.8,50.2,0,199.4,-80,-49.7,-18.5,-20.7,-34.9
Garrett County,01/01/2015 12:00:00 AM,29487,0,8,4,46,142,312,9,521,-0.4,58,11.1,-14.7,463,88.9,1.8,1766.9,1,196.7,-13.5,1570.2,3.2,0,27.1,13.6,156,481.6,1058.1,30.5,0,35.2,305.6,-23.5,1.4,6.2,-39.2
Garrett County,01/01/2016 12:00:00 AM,29166,0,6,2,52,84,277,14,435,-16.5,60,13.8,3.4,375,86.2,-19,1491.5,-15.6,205.7,4.6,1285.7,3.2,0,20.6,6.9,178.3,288,949.7,48,0,-24.2,-49.4,14.3,-40.2,-10.2,57.3
Harford County,01/01/1975 12:00:00 AM,129059,6,29,150,315,1402,3439,255,5596,,500,8.9,,5096,91.1,,4336,,387.4,,3948.6,,4.6,22.5,116.2,244.1,1086.3,2664.7,197.6,,,,,,,
Harford County,01/01/1976 12:00:00 AM,136805,2,37,78,349,1498,3576,242,5782,3.3,466,8.1,-6.8,5316,91.9,4.3,4226.5,-2.5,340.6,-12.1,3885.8,-1.6,1.5,27,57,255.1,1095,2613.9,176.9,-68.6,20.4,-50.9,4.5,0.8,-1.9,-10.5
Harford County,01/01/1977 12:00:00 AM,140650,2,43,115,388,1575,3427,241,5791,0.2,548,9.5,17.6,5243,90.5,-1.4,4117.3,-2.6,389.6,14.4,3727.7,-4.1,1.4,30.6,81.8,275.9,1119.8,2436.5,171.3,-2.7,13,43.4,8.1,2.3,-6.8,-3.1
Harford County,01/01/1978 12:00:00 AM,146556,3,23,102,344,1651,3284,303,5710,-1.4,472,8.3,-13.9,5238,91.7,-0.1,3896.1,-5.4,322.1,-17.3,3574.1,-4.1,2,15.7,69.6,234.7,1126.5,2240.8,206.7,44,-48.7,-14.9,-14.9,0.6,-8,20.7
Harford County,01/01/1979 12:00:00 AM,146422,8,27,129,309,1731,3235,353,5792,1.4,473,8.2,0.2,5319,91.8,1.5,3955.7,1.5,323,0.3,3632.7,1.6,5.5,18.4,88.1,211,1182.2,2209.4,241.1,166.9,17.5,26.6,-10.1,4.9,-1.4,16.6
Harford County,01/01/1980 12:00:00 AM,144340,3,26,109,336,1989,3374,282,6119,5.6,474,7.7,0.2,5645,92.3,6.1,4239.3,7.2,328.4,1.7,3910.9,7.7,2.1,18,75.5,232.8,1378,2337.5,195.4,-62,-2.3,-14.3,10.3,16.6,5.8,-19
Harford County,01/01/1981 12:00:00 AM,146708,6,32,138,307,1837,3326,241,5887,-3.8,483,8.2,1.9,5404,91.8,-4.3,4012.7,-5.3,329.2,0.3,3683.5,-5.8,4.1,21.8,94.1,209.3,1252.1,2267.1,164.3,96.8,21.1,24.6,-10.1,-9.1,-3,-15.9
Harford County,01/01/1982 12:00:00 AM,146846,6,22,100,320,1332,3173,226,5179,-12,448,8.7,-7.2,4731,91.3,-12.5,3526.8,-12.1,305.1,-7.3,3221.7,-12.5,4.1,15,68.1,217.9,907.1,2160.8,153.9,-0.1,-31.3,-27.6,4.1,-27.6,-4.7,-6.3
Harford County,01/01/1983 12:00:00 AM,148188,7,23,100,215,1067,2650,230,4292,-17.1,345,8,-23,3947,92,-16.6,2896.3,-17.9,232.8,-23.7,2663.5,-17.3,4.7,15.5,67.5,145.1,720,1788.3,155.2,15.6,3.6,-0.9,-33.4,-20.6,-17.2,0.8
Harford County,01/01/1984 12:00:00 AM,151550,2,22,77,312,1155,2605,236,4409,2.7,413,9.4,19.7,3996,90.6,1.2,2909.3,0.4,272.5,17.1,2636.8,-1,1.3,14.5,50.8,205.9,762.1,1718.9,155.7,-72.1,-6.5,-24.7,41.9,5.8,-3.9,0.3
Harford County,01/01/1985 12:00:00 AM,152381,2,47,73,425,1314,2627,294,4782,8.5,547,11.4,32.4,4235,88.6,6,3138.2,7.9,359,31.7,2779.2,5.4,1.3,30.8,47.9,278.9,862.3,1724,192.9,-0.5,112.5,-5.7,35.5,13.1,0.3,23.9
Harford County,01/01/1986 12:00:00 AM,154882,5,53,77,542,1226,3120,403,5426,13.5,677,12.5,23.8,4749,87.5,12.1,3503.3,11.6,437.1,21.8,3066.2,10.3,3.2,34.2,49.7,349.9,791.6,2014.4,260.2,146,10.9,3.8,25.5,-8.2,16.8,34.9
Harford County,01/01/1987 12:00:00 AM,160945,9,35,115,533,1283,3265,380,5620,3.6,692,12.3,2.2,4928,87.7,3.8,3491.9,-0.3,430,-1.6,3061.9,-0.1,5.6,21.7,71.5,331.2,797.2,2028.6,236.1,73.2,-36.4,43.7,-5.4,0.7,0.7,-9.3
Harford County,01/01/1988 12:00:00 AM,167646,10,30,120,565,1419,3373,358,5875,4.5,725,12.3,4.8,5150,87.7,4.5,3504.4,0.4,432.5,0.6,3071.9,0.3,6,17.9,71.6,337,846.4,2012,213.5,6.7,-17.7,0.2,1.8,6.2,-0.8,-9.6
Harford County,01/01/1989 12:00:00 AM,173062,11,38,105,416,1422,3225,317,5534,-5.8,570,10.3,-21.4,4964,89.7,-3.6,3197.7,-8.8,329.4,-23.8,2868.3,-6.6,6.4,22,60.7,240.4,821.7,1863.5,183.2,6.6,22.7,-15.2,-28.7,-2.9,-7.4,-14.2
Harford County,01/01/1990 12:00:00 AM,182132,6,45,107,431,1503,3321,338,5751,3.9,589,10.2,3.3,5162,89.8,4,3157.6,-1.3,323.4,-1.8,2834.2,-1.2,3.3,24.7,58.7,236.6,825.2,1823.4,185.6,-48.2,12.5,-3.2,-1.6,0.4,-2.2,1.3
Harford County,01/01/1991 12:00:00 AM,185120,3,53,110,485,1580,4061,430,6722,16.9,651,9.7,10.5,6071,90.3,17.6,3631.2,15,351.7,8.7,3279.5,15.7,1.6,28.6,59.4,262,853.5,2193.7,232.3,-50.8,15.9,1.1,10.7,3.4,20.3,25.2
Harford County,01/01/1992 12:00:00 AM,186946,6,45,116,436,1435,3666,349,6053,-10,603,10,-7.4,5450,90,-10.2,3237.8,-10.8,322.6,-8.3,2915.3,-11.1,3.2,24.1,62.1,233.2,767.6,1961,186.7,98,-15.9,4.4,-11,-10.1,-10.6,-19.6
Harford County,01/01/1993 12:00:00 AM,197399,0,58,84,397,1315,3500,326,5680,-6.2,539,9.5,-10.6,5141,90.5,-5.7,2877.4,-11.1,273.1,-15.3,2604.4,-10.7,0,29.4,42.6,201.1,666.2,1773.1,165.1,-100,22.1,-31.4,-13.8,-13.2,-9.6,-11.5
Harford County,01/01/1994 12:00:00 AM,199021,6,34,123,418,1207,3678,403,5869,3.3,581,9.9,7.8,5288,90.1,2.9,2948.9,2.5,291.9,6.9,2657,2,3,17.1,61.8,210,606.5,1848,202.5,301.5,-41.9,45.2,4.4,-9,4.2,22.6
Harford County,01/01/1995 12:00:00 AM,203438,5,64,151,418,1145,3851,345,5979,1.9,638,10.7,9.8,5341,89.3,1,2939,-0.3,313.6,7.4,2625.4,-1.2,2.5,31.5,74.2,205.5,562.8,1893,169.6,-18.5,84.1,20.1,-2.2,-7.2,2.4,-16.3
Harford County,01/01/1996 12:00:00 AM,204646,6,51,134,363,1317,3946,399,6216,4,554,8.9,-13.2,5662,91.1,6,3037.4,3.4,270.7,-13.7,2766.7,5.4,2.9,24.9,65.5,177.4,643.6,1928.2,195,19.3,-20.8,-11.8,-13.7,14.3,1.9,15
Harford County,01/01/1997 12:00:00 AM,205533,3,52,171,427,1182,3818,336,5989,-3.7,653,10.9,17.9,5336,89.1,-5.8,2913.9,-4.1,317.7,17.4,2596.2,-6.2,1.5,25.3,83.2,207.8,575.1,1857.6,163.5,-50.2,1.5,27.1,17.1,-10.6,-3.7,-16.2
Harford County,01/01/1998 12:00:00 AM,214271,9,24,147,358,936,3668,403,5545,-7.4,538,9.7,-17.6,5007,90.3,-6.2,2587.8,-11.2,251.1,-21,2336.8,-10,4.2,11.2,68.6,167.1,436.8,1711.9,188.1,187.8,-55.7,-17.5,-19.6,-24,-7.8,15
Harford County,01/01/1999 12:00:00 AM,216208,6,34,146,377,936,3582,359,5440,-1.9,563,10.3,4.6,4877,89.7,-2.6,2516.1,-2.8,260.4,3.7,2255.7,-3.5,2.8,15.7,67.5,174.4,432.9,1656.7,166,-33.9,40.4,-1.6,4.4,-0.9,-3.2,-11.7
Harford County,01/01/2000 12:00:00 AM,218590,4,31,167,419,921,3590,358,5490,0.9,621,11.3,10.3,4869,88.7,-0.2,2511.6,-0.2,284.1,9.1,2227.5,-1.3,1.8,14.2,76.4,191.7,421.3,1642.3,163.8,-34.1,-9.8,13.1,9.9,-2.7,-0.9,-1.4
Harford County,01/01/2001 12:00:00 AM,221837,2,31,191,453,1274,4005,414,6370,16,677,10.6,9,5693,89.4,16.9,2871.5,14.3,305.2,7.4,2566.3,15.2,0.9,14,86.1,204.2,574.3,1805.4,186.6,-50.7,-1.5,12.7,6.5,36.3,9.9,13.9
Harford County,01/01/2002 12:00:00 AM,225262,5,45,237,554,1150,4477,438,6906,8.4,841,12.2,24.2,6065,87.8,6.5,3065.8,6.8,373.3,22.3,2692.4,4.9,2.2,20,105.2,245.9,510.5,1987.5,194.4,146.2,43,22.2,20.4,-11.1,10.1,4.2
Harford County,01/01/2003 12:00:00 AM,229831,5,46,248,657,1082,3857,330,6225,-9.9,956,15.4,13.7,5269,84.6,-13.1,2708.5,-11.7,416,11.4,2292.6,-14.9,2.2,20,107.9,285.9,470.8,1678.2,143.6,-2,0.2,2.6,16.2,-7.8,-15.6,-26.2
Harford County,01/01/2004 12:00:00 AM,234246,3,45,214,623,1112,3836,413,6246,0.3,885,14.2,-7.4,5361,85.8,1.7,2666.4,-1.6,377.8,-9.2,2288.6,-0.2,1.3,19.2,91.4,266,474.7,1637.6,176.3,-41.1,-4,-15.3,-7,0.8,-2.4,22.8
Harford County,01/01/2005 12:00:00 AM,237388,2,30,193,620,961,3591,359,5756,-7.8,845,14.7,-4.5,4911,85.3,-8.4,2424.7,-9.1,356,-5.8,2068.8,-9.6,0.8,12.6,81.3,261.2,404.8,1512.7,151.2,-34.2,-34.2,-11,-1.8,-14.7,-7.6,-14.2
Harford County,01/01/2006 12:00:00 AM,239914,9,36,202,579,990,3332,437,5585,-3,826,14.8,-2.2,4759,85.2,-3.1,2327.9,-4,344.3,-3.3,1983.6,-4.1,3.8,15,84.2,241.3,412.6,1388.8,182.1,345.3,18.7,3.6,-7.6,1.9,-8.2,20.4
Harford County,01/01/2007 12:00:00 AM,242818,8,50,212,663,1097,3453,467,5950,6.5,933,15.7,13,5017,84.3,5.4,2450.4,5.3,384.2,11.6,2066.2,4.2,3.3,20.6,87.3,273,451.8,1422.1,192.3,-12.2,37.2,3.7,13.1,9.5,2.4,5.6
Harford County,01/01/2008 12:00:00 AM,240963,6,66,245,562,1155,3663,403,6100,2.5,879,14.4,-5.8,5221,85.6,4.1,2531.5,3.3,364.8,-5.1,2166.7,4.9,2.5,27.4,101.7,233.2,479.3,1520.2,167.2,-24.4,33,16.5,-14.6,6.1,6.9,-13
Harford County,01/01/2009 12:00:00 AM,243988,4,60,228,592,809,3482,251,5426,-11,884,16.3,0.6,4542,83.7,-13,2223.9,-12.2,362.3,-0.7,1861.6,-14.1,1.6,24.6,93.4,242.6,331.6,1427.1,102.9,-34.2,-10.2,-8.1,4,-30.8,-6.1,-38.5
Harford County,01/01/2010 12:00:00 AM,246347,6,63,196,588,889,3377,236,5355,-1.3,853,15.9,-3.5,4502,84.1,-0.9,2173.8,-2.3,346.3,-4.4,1827.5,-1.8,2.4,25.6,79.6,238.7,360.9,1370.8,95.8,48.6,4,-14.9,-1.6,8.8,-3.9,-6.9
Harford County,01/01/2011 12:00:00 AM,247147,5,39,148,451,779,2965,207,4594,-14.2,643,14,-24.6,3951,86,-12.2,1858.8,-14.5,260.2,-24.9,1598.6,-12.5,2,15.8,59.9,182.5,315.2,1199.7,83.8,-16.9,-38.3,-24.7,-23.5,-12.7,-12.5,-12.6
Harford County,01/01/2012 12:00:00 AM,248869,3,54,156,484,1019,2806,206,4728,2.9,697,14.7,8.4,4031,85.3,2,1899.8,2.2,280.1,7.6,1619.7,1.3,1.2,21.7,62.7,194.5,409.5,1127.5,82.8,-40.4,37.5,4.7,6.6,29.9,-6,-1.2
Harford County,01/01/2013 12:00:00 AM,250244,5,69,178,410,845,3087,131,4725,-0.1,662,14,-5,4063,86,0.8,1888.2,-0.6,264.5,-5.5,1623.6,0.2,2,27.6,71.1,163.8,337.7,1233.6,52.3,65.8,27.1,13.5,-15.8,-17.5,9.4,-36.8
Harford County,01/01/2014 12:00:00 AM,250706,6,64,165,376,674,2875,106,4266,-9.7,611,14.3,-7.7,3655,85.7,-10,1701.6,-9.9,243.7,-7.9,1457.9,-10.2,2.4,25.5,65.8,150,268.8,1146.8,42.3,19.8,-7.4,-7.5,-8.5,-20.4,-7,-19.2
Harford County,01/01/2015 12:00:00 AM,250575,7,43,165,383,633,2408,108,3747,-12.2,598,16,-2.1,3149,84,-13.8,1495.4,-12.1,238.7,-2.1,1256.7,-13.8,2.8,17.2,65.8,152.8,252.6,961,43.1,16.7,-32.8,0.1,1.9,-6,-16.2,1.9
Harford County,01/01/2016 12:00:00 AM,249859,9,42,121,380,569,2813,90,4024,7.4,552,13.7,-7.7,3472,86.3,10.3,1610.5,7.7,220.9,-7.4,1389.6,-13.8,3.6,16.8,48.4,152.1,227.7,1125.8,36,28.9,-2,-26.5,-0.5,-9.9,17.2,-16.4
Howard County,01/01/1975 12:00:00 AM,95370,6,40,114,267,1343,3161,440,5371,,427,8,,4944,92,,5631.8,,447.7,,5184,,6.3,41.9,119.5,280,1408.2,3314.5,461.4,,,,,,,
Howard County,01/01/1976 12:00:00 AM,97877,3,42,80,272,1037,3282,385,5101,-5,397,7.8,-7,4704,92.2,-4.9,5211.6,-7.5,405.6,-9.4,4806,-7.3,3.1,42.9,81.7,277.9,1059.5,3353.2,393.4,-51.3,2.3,-31.6,-0.7,-24.8,1.2,-14.7
Howard County,01/01/1977 12:00:00 AM,103425,3,41,114,340,1072,3087,462,5119,0.4,498,9.7,25.4,4621,90.3,-1.8,4949.5,-5,481.5,18.7,4468,-7,2.9,39.6,110.2,328.7,1036.5,2984.8,446.7,-5.4,-7.6,34.9,18.3,-2.2,-11,13.6
Howard County,01/01/1978 12:00:00 AM,117027,1,30,102,395,1167,3565,399,5659,10.5,528,9.3,6,5131,90.7,11,4835.6,-2.3,451.2,-6.3,4384.5,-1.9,0.9,25.6,87.2,337.5,997.2,3046.3,340.9,-70.5,-35.3,-20.9,2.7,-3.8,2.1,-23.7
Howard County,01/01/1979 12:00:00 AM,116777,3,35,84,648,1423,3633,395,6221,9.9,770,12.4,45.8,5451,87.6,6.2,5327.2,10.2,659.4,46.1,4667.9,6.5,2.6,30,71.9,554.9,1218.6,3111.1,338.3,200.6,16.9,-17.5,64.4,22.2,2.1,-0.8
Howard County,01/01/1980 12:00:00 AM,118443,5,34,80,460,1826,4196,385,6986,12.3,579,8.3,-24.8,6407,91.7,17.5,5898.2,10.7,488.8,-25.9,5409.4,15.9,4.2,28.7,67.5,388.4,1541.7,3542.6,325.1,64.3,-4.2,-6.1,-30,26.5,13.9,-3.9
Howard County,01/01/1981 12:00:00 AM,120387,5,34,103,314,1677,3933,415,6481,-7.2,456,7,-21.2,6025,93,-6,5383.5,-8.7,378.8,-22.5,5004.7,-7.5,4.2,28.2,85.6,260.8,1393,3267,344.7,-1.6,-1.6,26.7,-32.8,-9.6,-7.8,6.1
Howard County,01/01/1982 12:00:00 AM,120500,7,35,102,288,1295,3931,421,6079,-6.2,432,7.1,-5.3,5647,92.9,-6.3,5044.8,-6.3,358.5,-5.4,4686.3,-6.4,5.8,29,84.6,239,1074.7,3262.2,349.4,39.9,2.8,-1.1,-8.4,-22.9,-0.1,1.4
Howard County,01/01/1983 12:00:00 AM,121601,1,21,110,269,1262,3749,332,5744,-5.5,401,7,-7.2,5343,93,-5.4,4723.6,-6.4,329.8,-8,4393.9,-6.2,0.8,17.3,90.5,221.2,1037.8,3083,273,-85.8,-40.5,6.9,-7.4,-3.4,-5.5,-21.9
Howard County,01/01/1984 12:00:00 AM,129114,7,30,106,236,1448,4345,437,6609,15.1,379,5.7,-5.5,6230,94.3,16.6,5118.7,8.4,293.5,-11,4825.2,9.8,5.4,23.2,82.1,182.8,1121.5,3365.2,338.5,559.3,34.5,-9.2,-17.4,8.1,9.2,24
Howard County,01/01/1985 12:00:00 AM,137032,5,43,127,345,1502,4752,453,7227,9.4,520,7.2,37.2,6707,92.8,7.7,5274,3,379.5,29.3,4894.5,1.4,3.6,31.4,92.7,251.8,1096.1,3467.8,330.6,-32.7,35.1,12.9,37.7,-2.3,3,-2.3
Howard County,01/01/1986 12:00:00 AM,139251,3,36,117,340,1736,5178,676,8086,11.9,496,6.1,-4.6,7590,93.9,13.2,5806.8,10.1,356.2,-6.1,5450.6,11.4,2.2,25.9,84,244.2,1246.7,3718.5,485.5,-41,-17.6,-9.3,-3,13.7,7.2,46.8
Howard County,01/01/1987 12:00:00 AM,153629,6,40,104,280,1590,5147,823,7990,-1.2,430,5.4,-13.3,7560,94.6,-0.4,5200.8,-10.4,279.9,-21.4,4920.9,-9.7,3.9,26,67.7,182.3,1035,3350.3,535.7,81.3,0.7,-19.4,-25.4,-17,-9.9,10.4
Howard County,01/01/1988 12:00:00 AM,160989,2,48,113,357,1725,5121,799,8165,2.2,520,6.4,20.9,7645,93.6,1.1,5071.8,-2.5,323,15.4,4748.8,-3.5,1.2,29.8,70.2,221.8,1071.5,3181,496.3,-68.2,14.5,3.7,21.7,3.5,-5.1,-7.4
Howard County,01/01/1989 12:00:00 AM,165546,10,28,167,364,1691,5117,930,8307,1.7,569,6.8,9.4,7738,93.2,1.2,5017.9,-1.1,343.7,6.4,4674.2,-1.6,6,16.9,100.9,219.9,1021.5,3091,561.8,386.2,-43.3,43.7,-0.8,-4.7,-2.8,13.2
Howard County,01/01/1990 12:00:00 AM,187328,7,50,99,433,1802,4899,997,8287,-0.2,589,7.1,3.5,7698,92.9,-0.5,4423.8,-11.8,314.4,-8.5,4109.4,-12.1,3.7,26.7,52.8,231.1,961.9,2615.2,532.2,-38.1,57.8,-47.6,5.1,-5.8,-15.4,-5.3
Howard County,01/01/1991 12:00:00 AM,190403,8,44,151,417,1665,5667,1105,9057,9.3,620,6.8,5.3,8437,93.2,9.6,4756.8,7.5,325.6,3.6,4431.1,7.8,4.2,23.1,79.3,219,874.5,2976.3,580.3,12.4,-13.4,50.1,-5.3,-9.1,13.8,9
Howard County,01/01/1992 12:00:00 AM,192284,6,43,135,404,1673,5545,935,8741,-3.5,588,6.7,-5.2,8153,93.3,-3.4,4545.9,-4.4,305.8,-6.1,4240.1,-4.3,3.1,22.4,70.2,210.1,870.1,2883.8,486.3,-25.7,-3.2,-11.5,-4.1,-0.5,-3.1,-16.2
Howard County,01/01/1993 12:00:00 AM,201881,5,26,130,348,1490,5350,1083,8432,-3.5,509,6,-13.4,7923,94,-2.8,4176.7,-8.1,252.1,-17.6,3924.6,-7.4,2.5,12.9,64.4,172.4,738.1,2650.1,536.5,-20.6,-42.4,-8.3,-18,-15.2,-8.1,10.3
Howard County,01/01/1994 12:00:00 AM,203542,4,31,149,403,1248,5868,1157,8860,5.1,587,6.6,15.3,8273,93.4,4.4,4352.9,4.2,288.4,14.4,4064.5,3.6,2,15.2,73.2,198,613.1,2882.9,568.4,-20.7,18.3,13.7,14.9,-16.9,8.8,6
Howard County,01/01/1995 12:00:00 AM,214511,3,33,213,382,1431,6148,844,9054,2.2,631,7,7.5,8423,93,1.8,4220.8,-3,294.2,2,3926.6,-3.4,1.4,15.4,99.3,178.1,667.1,2866.1,393.5,-28.8,1,35.6,-10.1,8.8,-0.6,-30.8
Howard County,01/01/1996 12:00:00 AM,215787,5,34,251,343,1280,6345,787,9045,-0.1,633,7,0.3,8412,93,-0.1,4191.6,-0.7,293.3,-0.3,3898.3,-0.7,2.3,15.8,116.3,159,593.2,2940.4,364.7,65.7,2.4,17.1,-10.7,-11.1,2.6,-7.3
Howard County,01/01/1997 12:00:00 AM,216723,1,33,222,298,1497,6479,753,9283,2.6,554,6,-12.5,8729,94,3.8,4283.3,2.2,255.6,-12.9,4027.7,3.3,0.5,15.2,102.4,137.5,690.7,2989.5,347.4,-80.1,-3.4,-11.9,-13.5,16.4,1.7,-4.7
