"Respondent","WorkToolsSelect","LanguageRecommendationSelect","EmployerIndustry","WorkAlgorithmsSelect"
5693,"Hadoop/Hive/Pig,Java,Jupyter notebooks,NoSQL,Oracle Data Mining/ Oracle R Enterprise,Python,SQL,Unix shell / awk","Python","Technology","Bayesian Techniques,Decision Trees,Regression/Logistic Regression"
5694,"C/C++,Hadoop/Hive/Pig,Jupyter notebooks,MATLAB/Octave,NoSQL,Python,Tableau,TensorFlow","Python","Technology","Decision Trees,Gradient Boosted Machines,Neural Networks,Regression/Logistic Regression"
5695,"R","","Insurance","Random Forests"
5696,"","","Technology",""
5697,"Julia,Python","Python","Other","Bayesian Techniques"
5698,"IBM SPSS Statistics,R,SAS Base,SAS Enterprise Miner","R","Government","Decision Trees,Neural Networks,Random Forests,Regression/Logistic Regression,RNNs,SVMs"
5699,"","","Manufacturing",""
5700,"Python,SQL,Unix shell / awk","Python","Non-profit","Decision Trees"
5701,"Jupyter notebooks,Python,SQL,Unix shell / awk","Python","Other","Evolutionary Approaches,Neural Networks"
5702,"","","",""
5703,"Impala,Java,Jupyter notebooks,MATLAB/Octave,NoSQL,Python,R,SQL,TensorFlow,Unix shell / awk","Python","Other","CNNs,Decision Trees,Ensemble Methods,Regression/Logistic Regression"
5704,"Python,R,SQL","R","Financial","Decision Trees"
5705,"Python,QlikView,R,SQL,Tableau,TensorFlow","Python","Technology","Bayesian Techniques,Decision Trees,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression,RNNs,SVMs"
5706,"Python","Python","Technology","Neural Networks"
5707,"Amazon Machine Learning,Cloudera,Hadoop/Hive/Pig,Java,KNIME (free version),Microsoft Excel Data Mining,Perl,Python,R,RapidMiner (commercial version),SAS Enterprise Miner,Spark / MLlib,SQL,Tableau,Unix shell / awk","R","Mix of fields","Bayesian Techniques,Decision Trees,Ensemble Methods,Gradient Boosted Machines,Markov Logic Networks,Random Forests,Regression/Logistic Regression,SVMs"
5708,"","","",""
5709,"","","",""
5710,"Cloudera,Jupyter notebooks,MATLAB/Octave,Microsoft Azure Machine Learning,Microsoft Excel Data Mining,Python,SQL","Python","Mix of fields","Decision Trees,Other"
5711,"Amazon Web services,Cloudera,Flume,Hadoop/Hive/Pig,Impala,Jupyter notebooks,Spark / MLlib,SQL,Tableau,Unix shell / awk","Python","Insurance","SVMs"
5712,"Microsoft Excel Data Mining,R,SQL,Stan","R","Other","Bayesian Techniques,Ensemble Methods,Regression/Logistic Regression"
5713,"Java,NoSQL,Python,SQL,Unix shell / awk","Python","Academic","CNNs,Neural Networks,RNNs,SVMs"
5714,"","","Pharmaceutical",""
5715,"C/C++,Jupyter notebooks,Microsoft R Server (Formerly Revolution Analytics),NoSQL,QlikView,R,SQL,Other","R","Insurance","Decision Trees,Neural Networks,Random Forests,Regression/Logistic Regression"
5716,"NoSQL,Perl,R,TensorFlow","C/C++/C#","Technology","CNNs,HMMs,Neural Networks,Regression/Logistic Regression,RNNs,SVMs"
5717,"C/C++,Jupyter notebooks,NoSQL","","Technology","CNNs,Neural Networks,RNNs"
5718,"Hadoop/Hive/Pig,Java,NoSQL,Python,R,Spark / MLlib,Tableau","","Retail","Bayesian Techniques,Decision Trees,Neural Networks,Regression/Logistic Regression,SVMs"
5719,"Java,Jupyter notebooks,Python,SQL,Unix shell / awk","Python","Mix of fields","Ensemble Methods,Gradient Boosted Machines,Neural Networks,Regression/Logistic Regression"
5720,"","","CRM/Marketing",""
5721,"IBM SPSS Statistics,Jupyter notebooks,NoSQL,Python,R,Spark / MLlib,SQL,Tableau,TensorFlow","Python","CRM/Marketing","Decision Trees,Ensemble Methods,Neural Networks,Random Forests,Regression/Logistic Regression"
5722,"","","Financial",""
5723,"","","Mix of fields",""
5724,"C/C++,Microsoft Azure Machine Learning,NoSQL,Python,R,SQL,TensorFlow","Python","Academic","Random Forests,Regression/Logistic Regression"
5725,"Python,R,SQL,TensorFlow","R","Technology","Bayesian Techniques,Decision Trees,Gradient Boosted Machines,Neural Networks,Random Forests"
5726,"Amazon Machine Learning,Amazon Web services,C/C++,Cloudera,DataRobot,Hadoop/Hive/Pig,Impala,Java,Jupyter notebooks,Python,R,SAS Base,Spark / MLlib,SQL,Tableau,Unix shell / awk","Python","Mix of fields","Decision Trees,Ensemble Methods,Gradient Boosted Machines,Regression/Logistic Regression"
5727,"C/C++,Python,TensorFlow","","Technology","CNNs,GANs,Neural Networks"
5728,"Amazon Machine Learning,Python","","Technology","CNNs,Gradient Boosted Machines,RNNs"
5729,"Amazon Web services,Java,MATLAB/Octave,Microsoft Excel Data Mining,NoSQL,Python,R,SQL,Tableau,Unix shell / awk","R","Internet-based","Decision Trees,Regression/Logistic Regression,SVMs"
5730,"C/C++,Java,Jupyter notebooks,Microsoft R Server (Formerly Revolution Analytics),Microsoft SQL Server Data Mining,NoSQL,Python,R,SQL,TensorFlow,Unix shell / awk","R","Telecommunications","Decision Trees,Neural Networks,Random Forests,Regression/Logistic Regression,RNNs"
5731,"","","",""
5732,"Cloudera,Flume,Google Cloud Compute,Hadoop/Hive/Pig,Impala,Java,Jupyter notebooks,Python,R,Spark / MLlib,SQL","Python","Mix of fields","Decision Trees,Ensemble Methods,Gradient Boosted Machines"
5733,"","","",""
5734,"","","",""
5735,"Amazon Web services,C/C++,Google Cloud Compute,Java,Jupyter notebooks,MATLAB/Octave,Microsoft Azure Machine Learning,NoSQL,Python,Spark / MLlib,SQL,Tableau,TensorFlow,Unix shell / awk","Python","Technology","Decision Trees,Ensemble Methods,Gradient Boosted Machines,Random Forests,Regression/Logistic Regression"
5736,"","","Hospitality/Entertainment/Sports",""
5737,"C/C++,Jupyter notebooks,Perl,Python,R,SQL","Python","Non-profit","Neural Networks,Random Forests"
5738,"Amazon Web services,QlikView,R,SQL,Tableau","R","Telecommunications","Regression/Logistic Regression"
5739,"Hadoop/Hive/Pig,Jupyter notebooks,Oracle Data Mining/ Oracle R Enterprise,R,SAS Base,SAS Enterprise Miner,Spark / MLlib,SQL","R","Financial","Decision Trees,Random Forests,Regression/Logistic Regression"
5740,"R","Python","Other","Decision Trees,Random Forests,Regression/Logistic Regression"
5741,"Jupyter notebooks,Python,R,SQL,TensorFlow","R","Mix of fields","Bayesian Techniques,Decision Trees,Random Forests,Regression/Logistic Regression"
5742,"Hadoop/Hive/Pig,Jupyter notebooks,Python,SQL","Python","Internet-based","Neural Networks,Random Forests,Other"
5743,"C/C++,Jupyter notebooks,MATLAB/Octave,TensorFlow","Python","Technology","CNNs,Regression/Logistic Regression"
5744,"MATLAB/Octave,Python","Python","Technology","CNNs,Decision Trees,SVMs"
5745,"","","",""
5746,"Amazon Web services,Jupyter notebooks,Python,SQL,TensorFlow","Python","Technology","Bayesian Techniques,CNNs,Decision Trees,Ensemble Methods,Evolutionary Approaches,Neural Networks,Random Forests,Regression/Logistic Regression"
5747,"Python,Tableau,Unix shell / awk","Python","CRM/Marketing","Ensemble Methods,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression"
5748,"Microsoft Excel Data Mining,Python,R,SQL,Tableau","C/C++/C#","Other",""
5749,"","","",""
5750,"","","Mix of fields",""
5751,"MATLAB/Octave,Perl,Python","","Academic",""
5752,"Amazon Machine Learning,Amazon Web services,C/C++,Cloudera,Hadoop/Hive/Pig,Jupyter notebooks,Mathematica,MATLAB/Octave,Microsoft Azure Machine Learning,Microsoft Excel Data Mining,NoSQL,Python,R,SAS Base,Spark / MLlib,SQL,Tableau,TensorFlow,Unix shell / awk","Python","Telecommunications","CNNs,Decision Trees,Ensemble Methods,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression,SVMs"
5753,"C/C++,Hadoop/Hive/Pig,Python,R,TensorFlow","R","Technology","CNNs,HMMs,Markov Logic Networks"
5754,"Amazon Web services,IBM SPSS Statistics,R","","Academic","Bayesian Techniques"
5755,"Jupyter notebooks,Python,R,SQL,Other","Python","Technology","Regression/Logistic Regression"
5756,"","","Retail",""
5757,"Amazon Web services,Python,R,SQL,Unix shell / awk","","Financial","Bayesian Techniques"
5758,"Google Cloud Compute,Jupyter notebooks,Python,R,SQL,Unix shell / awk","Python","Internet-based","Ensemble Methods,Neural Networks,Random Forests,Regression/Logistic Regression"
5759,"Python,R","Python","Academic","Bayesian Techniques,Evolutionary Approaches,GANs"
5760,"","","",""
5761,"R,SQL","R","Insurance","Decision Trees"
5762,"Python,Other","Python","Academic",""
5763,"Jupyter notebooks,MATLAB/Octave,Python,SQL,TensorFlow","Python","Financial","Neural Networks,Regression/Logistic Regression"
5764,"C/C++,Python","","Academic","Bayesian Techniques,CNNs,Decision Trees,Neural Networks,Random Forests,Regression/Logistic Regression,RNNs,SVMs"
5765,"Microsoft Azure Machine Learning,Microsoft Excel Data Mining,R,Other","R","Technology","Decision Trees,Neural Networks,Random Forests,Regression/Logistic Regression"
5766,"Microsoft Excel Data Mining,Microsoft SQL Server Data Mining,R","R","Financial","Decision Trees,Random Forests,Regression/Logistic Regression"
5767,"Java,Jupyter notebooks,NoSQL,Python,R,Spark / MLlib,Tableau,Other","R","Technology","Bayesian Techniques,Decision Trees,SVMs"
5768,"Python","","Financial","Other"
5769,"MATLAB/Octave,Python,R","Python","Technology","Ensemble Methods,Neural Networks,Random Forests"
5770,"Cloudera,Flume,Hadoop/Hive/Pig,Java,Jupyter notebooks,NoSQL,Python,R,Spark / MLlib,SQL,TensorFlow,Unix shell / awk","","Mix of fields","Ensemble Methods,Neural Networks"
5771,"","","",""
5772,"Jupyter notebooks,NoSQL,Python,SQL","Python","Technology","Decision Trees,Regression/Logistic Regression"
5773,"C/C++,Jupyter notebooks,MATLAB/Octave,Python","Python","Mix of fields","Decision Trees,Neural Networks,Regression/Logistic Regression"
5774,"Cloudera,Hadoop/Hive/Pig,Python,Unix shell / awk","","Telecommunications","Regression/Logistic Regression"
5775,"","","",""
5776,"Amazon Machine Learning,Amazon Web services,Jupyter notebooks,KNIME (free version),Python,R,Spark / MLlib,SQL,Tableau","Python","Other","Decision Trees,Neural Networks,Random Forests,SVMs"
5777,"Oracle Data Mining/ Oracle R Enterprise,Python,R,Spark / MLlib,Tableau,TensorFlow","R","Technology","Bayesian Techniques,Decision Trees,Ensemble Methods,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression,SVMs"
5778,"Amazon Web services,C/C++,Python,R,SQL,Unix shell / awk","Python","Academic","Decision Trees,Random Forests,Regression/Logistic Regression,Other"
5779,"","","",""
5780,"Julia,Jupyter notebooks,MATLAB/Octave,Python,R,Tableau,TensorFlow","Python","Technology","Bayesian Techniques,CNNs,Neural Networks"
5781,"Java,KNIME (free version),Python,SQL,Other,Other,Other","Python","Other","Decision Trees,HMMs,Neural Networks,Random Forests,Regression/Logistic Regression,SVMs,Other"
5782,"Java,MATLAB/Octave,Python,SQL,TensorFlow","Matlab","Academic","CNNs"
5783,"R,SAS Base,SAS Enterprise Miner,SQL,Unix shell / awk","","Insurance","Regression/Logistic Regression"
5784,"Jupyter notebooks,Python,TensorFlow","","Mix of fields","CNNs,Neural Networks,Random Forests"
5785,"Amazon Web services,Google Cloud Compute,Jupyter notebooks,Microsoft SQL Server Data Mining,NoSQL,Python,R,Spark / MLlib,SQL,Tableau,TensorFlow,Unix shell / awk","Python","Financial","Random Forests,Regression/Logistic Regression"
5786,"","","Technology",""
5787,"","","",""
5788,"Jupyter notebooks,Python,R,SQL,Tableau","Python","Technology","CNNs"
5789,"","","",""
5790,"Java,NoSQL,Oracle Data Mining/ Oracle R Enterprise,Python,Spark / MLlib,SQL,TensorFlow","Python","Manufacturing","Bayesian Techniques,CNNs,Decision Trees,Ensemble Methods,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression,RNNs,SVMs"
5791,"Amazon Web services,Cloudera,Hadoop/Hive/Pig,Jupyter notebooks,NoSQL,Python,Spark / MLlib,SQL,Unix shell / awk","Python","CRM/Marketing","Bayesian Techniques,Ensemble Methods,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression,SVMs"
5792,"","","Academic",""
5793,"Amazon Web services,Cloudera,Microsoft Excel Data Mining,Minitab,Python,R,SQL,Tableau","R","Telecommunications","Bayesian Techniques,CNNs,Decision Trees,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression,RNNs,SVMs"
5794,"","","",""
5795,"Python,TensorFlow","Python","Academic","CNNs,Ensemble Methods,GANs,Neural Networks,Random Forests,RNNs"
5796,"","","Internet-based",""
5797,"Jupyter notebooks,Mathematica,MATLAB/Octave,Microsoft Excel Data Mining,Microsoft R Server (Formerly Revolution Analytics),Microsoft SQL Server Data Mining,Python,R,SQL,TensorFlow","Python","CRM/Marketing","Bayesian Techniques,Decision Trees,Gradient Boosted Machines,Neural Networks,Random Forests,SVMs"
5798,"C/C++,Java,Jupyter notebooks,Python,R,Tableau,TensorFlow","Python","Telecommunications","Decision Trees,Gradient Boosted Machines,Random Forests,SVMs"
5799,"Cloudera,MATLAB/Octave,Python,R,TensorFlow","Python","Government","CNNs,Decision Trees,Neural Networks,SVMs"
5800,"Microsoft Azure Machine Learning,R","","Financial","Decision Trees"
5801,"C/C++,Jupyter notebooks,MATLAB/Octave,Microsoft Azure Machine Learning,Microsoft Excel Data Mining,Python,R,SQL,TensorFlow,Unix shell / awk","Python","Manufacturing","Bayesian Techniques,CNNs,Decision Trees,Ensemble Methods,Neural Networks,Random Forests,Regression/Logistic Regression,RNNs,SVMs"
5802,"R,Tableau,Other","R","Technology","Bayesian Techniques,Decision Trees,SVMs"
5803,"DataRobot,Jupyter notebooks,Orange,Python,R,RapidMiner (free version)","Python","Technology","Regression/Logistic Regression"
5804,"Python,R","Python","Financial","Ensemble Methods,Gradient Boosted Machines,Neural Networks,Random Forests"
5805,"Java,Jupyter notebooks,Python,SQL,Unix shell / awk","Python","Academic","Bayesian Techniques,Decision Trees,Random Forests,SVMs"
5806,"Amazon Web services,C/C++,Jupyter notebooks,MATLAB/Octave,Python,Spark / MLlib,TensorFlow,Other,Other,Other","Python","Technology","Decision Trees,Ensemble Methods,Random Forests,RNNs"
5807,"Jupyter notebooks,Python,R","Python","Technology","Ensemble Methods,Random Forests,SVMs"
5808,"","","",""
5809,"Amazon Machine Learning,Microsoft R Server (Formerly Revolution Analytics),Microsoft SQL Server Data Mining,NoSQL,R,SQL,Tableau","R","Retail","Bayesian Techniques,CNNs,Decision Trees,Neural Networks"
5810,"Amazon Web services,Jupyter notebooks,Python,R,Spark / MLlib,Stan","R","Manufacturing","Bayesian Techniques,Decision Trees,Ensemble Methods,Gradient Boosted Machines,Random Forests,Regression/Logistic Regression,SVMs,Other"
5811,"","","",""
5812,"Java,Microsoft Excel Data Mining,Oracle Data Mining/ Oracle R Enterprise,R","R","Academic","Decision Trees,GANs,Neural Networks,RNNs,SVMs"
5813,"Java,NoSQL,Python,SQL,TensorFlow","Python","Technology","Neural Networks,RNNs"
5814,"IBM Cognos,IBM SPSS Modeler,IBM SPSS Statistics,Jupyter notebooks,Python,R,SQL","Scala","Financial","Bayesian Techniques,Decision Trees,Ensemble Methods,Random Forests,Regression/Logistic Regression"
5815,"Java,Jupyter notebooks,MATLAB/Octave,Python,R,SQL","Python","Technology","Random Forests,Other"
5816,"","","Retail","Bayesian Techniques"
5817,"Amazon Machine Learning,Amazon Web services,Hadoop/Hive/Pig,Jupyter notebooks,NoSQL,Python,Spark / MLlib,SQL,TensorFlow,Unix shell / awk","Python","Technology","Bayesian Techniques,Decision Trees,Evolutionary Approaches,Gradient Boosted Machines,SVMs"
5818,"Python,R,SAS Base,SAS Enterprise Miner,SQL","","Financial","Regression/Logistic Regression"
5819,"C/C++,Flume,IBM Cognos,IBM SPSS Modeler,IBM SPSS Statistics,IBM Watson / Waton Analytics,Jupyter notebooks,NoSQL,Python,Spark / MLlib,SQL,TensorFlow,Unix shell / awk","Scala","Technology","Decision Trees,Ensemble Methods,Neural Networks,Random Forests"
5820,"SAS Base","R","Technology","Decision Trees"
5821,"Jupyter notebooks,Python,R,Spark / MLlib,SQL,Unix shell / awk","Python","Mix of fields","Bayesian Techniques,Decision Trees,Ensemble Methods,Gradient Boosted Machines,Regression/Logistic Regression"
5822,"Google Cloud Compute,Jupyter notebooks,Python,R,Spark / MLlib,SQL,TensorFlow","R","Internet-based","Gradient Boosted Machines,Regression/Logistic Regression,SVMs"
5823,"","","",""
5824,"","","",""
5825,"IBM SPSS Statistics,Jupyter notebooks,Python,R,SAS Enterprise Miner,Spark / MLlib,SQL","R","Mix of fields","Decision Trees,Ensemble Methods,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression,SVMs"
5826,"Other","Matlab","Manufacturing","Regression/Logistic Regression"
5827,"","","",""
5828,"Amazon Web services,Cloudera,Hadoop/Hive/Pig,Java,Jupyter notebooks,NoSQL,Spark / MLlib,SQL,Other","Python","Technology","Decision Trees,Random Forests,Regression/Logistic Regression"
5829,"Java,MATLAB/Octave,Microsoft Azure Machine Learning,SQL","R","Government","Neural Networks,Random Forests,SVMs"
5830,"C/C++,Cloudera,Flume,Hadoop/Hive/Pig,Impala,Java,NoSQL,Python,QlikView,R,SQL,Tableau","R","Government","Decision Trees,Neural Networks,Regression/Logistic Regression"
5831,"","","",""
5832,"","","",""
5833,"C/C++,MATLAB/Octave,R,SAS Base,SQL","R","Financial","Bayesian Techniques,Decision Trees,Regression/Logistic Regression"
5834,"Java,Jupyter notebooks,MATLAB/Octave,Microsoft Excel Data Mining,Python,R,SQL","Python","Retail","Ensemble Methods,Gradient Boosted Machines,Random Forests"
5835,"C/C++,IBM SPSS Statistics,MATLAB/Octave,Python","Python","Mix of fields","Bayesian Techniques,Evolutionary Approaches,Regression/Logistic Regression,Other"
5836,"KNIME (commercial version),Microsoft Excel Data Mining,Python,Other","","Technology","Bayesian Techniques"
5837,"Amazon Web services,Microsoft SQL Server Data Mining,Python,R,SQL,TensorFlow,Unix shell / awk","Python","Mix of fields","Decision Trees,Ensemble Methods,Neural Networks,Random Forests,Regression/Logistic Regression,SVMs"
5838,"Amazon Web services,C/C++,IBM Watson / Waton Analytics,Java,Jupyter notebooks,MATLAB/Octave,NoSQL,Python,Spark / MLlib,SQL,Tableau,TensorFlow,Other","Python","Technology","Bayesian Techniques,Neural Networks,Regression/Logistic Regression,RNNs,SVMs"
5839,"R,SAS Base,SAS JMP,SQL,Tableau,TIBCO Spotfire","R","Manufacturing","Regression/Logistic Regression"
5840,"","","Technology",""
5841,"Amazon Web services,Google Cloud Compute,Jupyter notebooks,MATLAB/Octave,Python,TensorFlow,Unix shell / awk","Python","Internet-based","CNNs,Neural Networks,RNNs"
5842,"Amazon Web services,IBM SPSS Statistics,Jupyter notebooks,Python,R,SQL,Other","R","Academic","Decision Trees,Random Forests,Other"
5843,"Python,TensorFlow","Python","Technology","Bayesian Techniques,Decision Trees,Ensemble Methods,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression,RNNs"
5844,"Python,TensorFlow","Python","Academic","CNNs,Neural Networks,RNNs"
5845,"C/C++,Java,MATLAB/Octave,Python,R","Python","Academic","Neural Networks"
5846,"Jupyter notebooks,Python,TensorFlow","Python","Internet-based","CNNs,Neural Networks,Random Forests,Regression/Logistic Regression"
5847,"","","",""
5848,"Amazon Web services,Jupyter notebooks,MATLAB/Octave,Python,TensorFlow,Unix shell / awk","Python","Mix of fields","Bayesian Techniques,CNNs,Neural Networks,Regression/Logistic Regression,SVMs"
5849,"Python,R","Java","Technology","Neural Networks,Random Forests,Regression/Logistic Regression,SVMs"
5850,"Hadoop/Hive/Pig,Python,R,SQL,Tableau,TIBCO Spotfire","","Pharmaceutical","Bayesian Techniques,Ensemble Methods,Gradient Boosted Machines,Regression/Logistic Regression"
5851,"Jupyter notebooks,Microsoft Excel Data Mining,Python,R,Other","Python","Hospitality/Entertainment/Sports","Bayesian Techniques,Decision Trees,Neural Networks,Random Forests,Regression/Logistic Regression"
5852,"Python,R,TensorFlow","Python","Internet-based","Bayesian Techniques,Decision Trees,Random Forests"
5853,"","","Financial","Bayesian Techniques,Decision Trees,Ensemble Methods,Gradient Boosted Machines,Random Forests,Regression/Logistic Regression"
5854,"","","Manufacturing",""
5855,"Amazon Web services,Hadoop/Hive/Pig,Jupyter notebooks,Python,R,SQL,Stan,Unix shell / awk","R","Retail","Bayesian Techniques,Gradient Boosted Machines,Random Forests"
5856,"R","R","Other","Decision Trees,Regression/Logistic Regression"
5857,"","","",""
5858,"Google Cloud Compute,Java,Microsoft Excel Data Mining,Microsoft SQL Server Data Mining,Python,R,SQL","R","Other","Decision Trees,Random Forests,Regression/Logistic Regression"
5859,"","","",""
5860,"IBM SPSS Statistics,Microsoft Excel Data Mining,R,SQL,Tableau","Python","Non-profit",""
5861,"","","",""
5862,"Mathematica,MATLAB/Octave,Python,R,SAP BusinessObjects Predictive Analytics,SAS Base,SAS Enterprise Miner,SAS JMP,SQL","R","Government","Bayesian Techniques,Decision Trees,Markov Logic Networks,Regression/Logistic Regression"
5863,"C/C++,Mathematica,Python,Other","Python","Technology","Evolutionary Approaches,Neural Networks,SVMs,Other"
5864,"MATLAB/Octave,Python","Matlab","Manufacturing",""
5865,"Hadoop/Hive/Pig,Jupyter notebooks,NoSQL,Python,R,Spark / MLlib,TensorFlow","Python","Technology","HMMs,Neural Networks"
5866,"Amazon Machine Learning,Flume,Google Cloud Compute,Hadoop/Hive/Pig,Java,MATLAB/Octave,Microsoft R Server (Formerly Revolution Analytics),Microsoft SQL Server Data Mining,NoSQL,Python,R,RapidMiner (free version),Spark / MLlib,SQL,Tableau,Unix shell / awk","Python","Technology","Bayesian Techniques,Decision Trees,Evolutionary Approaches,Neural Networks,Regression/Logistic Regression"
5867,"Amazon Machine Learning,Microsoft Excel Data Mining,Microsoft R Server (Formerly Revolution Analytics),Microsoft SQL Server Data Mining,Python,R","","Technology","Decision Trees,Regression/Logistic Regression"
5868,"Microsoft Azure Machine Learning,Microsoft R Server (Formerly Revolution Analytics),Python,R","Python","Telecommunications","Decision Trees,Ensemble Methods,Random Forests,Regression/Logistic Regression,SVMs"
5869,"","","",""
5870,"Hadoop/Hive/Pig,R","R","Financial","Decision Trees,Random Forests,Regression/Logistic Regression"
5871,"QlikView","SQL","Telecommunications",""
5872,"","","",""
5873,"Microsoft Excel Data Mining,Python,R,SQL","","Mix of fields","Decision Trees,Random Forests,Regression/Logistic Regression"
5874,"IBM SPSS Modeler,IBM Watson / Waton Analytics,Python,R,TensorFlow","R","Technology","Decision Trees,Ensemble Methods,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression,SVMs"
5875,"MATLAB/Octave,Python,TensorFlow,Unix shell / awk","","Mix of fields","CNNs,Ensemble Methods,GANs,Neural Networks"
5876,"C/C++,MATLAB/Octave,Python,R","Python","Academic","CNNs,Decision Trees,Ensemble Methods,Evolutionary Approaches,Gradient Boosted Machines,Neural Networks,Random Forests,SVMs"
5877,"Jupyter notebooks,Python,TensorFlow","Python","Non-profit","Neural Networks,RNNs"
5878,"R,SAS Base","","Non-profit","Bayesian Techniques,Decision Trees,Random Forests,Regression/Logistic Regression"
5879,"","","",""
5880,"Jupyter notebooks,Python,R,SQL,Unix shell / awk","Python","Financial","Bayesian Techniques,Decision Trees,Ensemble Methods,Random Forests,Regression/Logistic Regression"
5881,"C/C++,Mathematica,MATLAB/Octave,Microsoft Azure Machine Learning,Python,R,Unix shell / awk","R","Academic","Regression/Logistic Regression,SVMs"
5882,"SQL","Python","Financial",""
5883,"Jupyter notebooks,Mathematica,MATLAB/Octave,Python","Python","Academic","Bayesian Techniques,Regression/Logistic Regression"
5884,"","","",""
5885,"","","Other",""
5886,"Amazon Web services,Python,R,Stan,Unix shell / awk","Python","Academic",""
5887,"MATLAB/Octave,NoSQL,Python,TensorFlow","Python","Telecommunications","Neural Networks,Random Forests"
5888,"R","R","Financial","Decision Trees,Regression/Logistic Regression"
5889,"MATLAB/Octave","Python","Military/Security","Bayesian Techniques,HMMs"
5890,"Cloudera,Hadoop/Hive/Pig,Impala,Jupyter notebooks,KNIME (free version),Python,QlikView,R,Spark / MLlib,SQL,Tableau,Unix shell / awk","R","Internet-based","Decision Trees,Ensemble Methods,Gradient Boosted Machines,HMMs,Random Forests,Regression/Logistic Regression"
5891,"Jupyter notebooks,Python","Python","Internet-based","CNNs"
5892,"Spark / MLlib,Unix shell / awk","Python","Technology","Bayesian Techniques"
5893,"","","Other",""
5894,"Java,Jupyter notebooks,Python,SQL,TensorFlow,Other","Python","Technology","CNNs,GANs,Neural Networks,RNNs,Other"
5895,"","","",""
5896,"","","Internet-based",""
5897,"C/C++,Microsoft Excel Data Mining,Python,SQL","Python","Technology","Decision Trees,Ensemble Methods"
5898,"","","",""
5899,"NoSQL,Python,QlikView,R,SQL","Python","Other","Bayesian Techniques,Decision Trees,Random Forests,Regression/Logistic Regression"
5900,"Jupyter notebooks,Python,R","Python","Mix of fields",""
5901,"Java,Jupyter notebooks,Python,R,Spark / MLlib","Python","Academic","Other"
5902,"Google Cloud Compute,Jupyter notebooks,MATLAB/Octave,Python,TensorFlow","Python","Academic","CNNs,GANs,Neural Networks"
5903,"Amazon Web services,Java,NoSQL,Python,R,RapidMiner (free version),TensorFlow,Unix shell / awk,Other","Python","Technology","Decision Trees,Ensemble Methods,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression,SVMs"
5904,"Amazon Web services,Cloudera,Hadoop/Hive/Pig,Jupyter notebooks,Microsoft Excel Data Mining,Microsoft SQL Server Data Mining,NoSQL,Python,R,Spark / MLlib,SQL,Tableau,Unix shell / awk","SQL","Insurance","Decision Trees,Gradient Boosted Machines,Random Forests,Regression/Logistic Regression"
5905,"Google Cloud Compute,Jupyter notebooks,Python,TensorFlow","Python","Technology","Neural Networks"
5906,"C/C++,MATLAB/Octave,R","Matlab","Technology","Gradient Boosted Machines,HMMs,Markov Logic Networks,Neural Networks,Random Forests,SVMs"
5907,"","","Manufacturing",""
5908,"Angoss,Python,R,Salfrod Systems CART/MARS/TreeNet/RF/SPM,SAS Base,SAS Enterprise Miner","Python","Financial","Decision Trees,Ensemble Methods,Gradient Boosted Machines,Regression/Logistic Regression"
5909,"","","Other",""
5910,"KNIME (free version),R","R","Other","Decision Trees,Ensemble Methods,Neural Networks,Random Forests,Regression/Logistic Regression"
5911,"IBM Watson / Waton Analytics,Jupyter notebooks,KNIME (free version),Microsoft Azure Machine Learning,NoSQL,Python,R,RapidMiner (free version),SQL,Tableau,TensorFlow,Unix shell / awk","R","Government","CNNs,Decision Trees,Ensemble Methods,Regression/Logistic Regression"
5912,"KNIME (free version),SQL,Tableau","Python","Financial",""
5913,"Amazon Web services,Google Cloud Compute,Jupyter notebooks,NoSQL,Python,SQL,TensorFlow,Unix shell / awk","Python","Other","CNNs"
5914,"Python,TensorFlow","R","Academic","Neural Networks,SVMs"
5915,"Jupyter notebooks,Python,SQL,TensorFlow,Other,Other","Python","Academic","CNNs,Neural Networks,Random Forests,RNNs,SVMs"
5916,"C/C++,Java,Python,R,SQL,Tableau","R","Internet-based","Decision Trees,Random Forests,Regression/Logistic Regression,SVMs"
5917,"Python,TensorFlow","","Technology","CNNs,Decision Trees,Ensemble Methods,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression,RNNs"
5918,"Java,Jupyter notebooks,Python","Python","Technology","CNNs,Neural Networks,Regression/Logistic Regression,RNNs,SVMs"
5919,"Amazon Web services,Jupyter notebooks,Python,R,SQL,Unix shell / awk","R","Technology","Decision Trees,Ensemble Methods,Gradient Boosted Machines,Random Forests"
5920,"","","",""
5921,"Python,R","Python","Academic","Bayesian Techniques"
